,0,1,2
0,arping,69,"['call sym.imp.clock_gettime', 'movzx ecx, byte [var_1eah]', 'cmp cl, 2', 'ja 0x3226', 'test ebp, ebp', 'je 0x30d0', 'mov edx, 0xffffffff', 'mov esi, 3', 'mov rdi, r13', 'call sym.imp.poll', 'test eax, eax', 'jg 0x319d', 'xor ebp, ebp', 'xor r12d, r12d', 'cmp word [r13 + r12*8 + 6], 0', 'je 0x3220', 'cmp r12, 1', 'je 0x3639', 'cmp r12, 2', 'je 0x3233', 'lea r9, [var_5ch]', 'mov r8, rbx', 'xor ecx, ecx', 'mov edx, 0x1000', 'mov edi, dword [sockfd]', 'lea rsi, [var_3f0h]', 'call sym.imp.recvfrom', 'mov r12, rax', 'test rax, rax', 'js 0x3c2c', 'lea rsi, [var_70h]', 'mov edi, 4', 'call sym.imp.clock_gettime']"
1,arping,123,"['call sym.imp.clock_gettime', 'movzx ecx, byte [var_1eah]', 'cmp cl, 2', 'ja 0x3226', 'test ebp, ebp', 'je 0x30d0', 'mov edx, 0xffffffff', 'mov esi, 3', 'mov rdi, r13', 'call sym.imp.poll', 'test eax, eax', 'jg 0x319d', 'xor ebp, ebp', 'xor r12d, r12d', 'cmp word [r13 + r12*8 + 6], 0', 'je 0x3220', 'cmp r12, 1', 'je 0x3639', 'mov rsi, qword [var_20h]', 'mov edx, 8', 'mov edi, r15d', 'call sym.imp.read', 'cmp rax, 8', 'jne 0x38d8', 'mov rax, qword [nmeb]', 'add qword [var_10h], rax', 'movsxd rax, dword [var_2a0h]', 'mov rcx, qword [var_10h]', 'test eax, eax', 'jle 0x3679', 'mov rdi, qword [var_8h]', 'call fcn.000044b0', 'push r14', 'lea r14, [rdi + 0x5c]', 'mov esi, 8', 'push r13', 'push r12', 'lea r12, [rdi + 0xd0]', 'push rbp', 'mov rbp, rdi', 'push rbx', 'sub rsp, 0x120', 'movzx edx, word [rdi + 0x58]', 'mov rax, qword fs:[0x28]', 'mov qword [var_118h], rax', 'xor eax, eax', 'mov word [var_12h], si', 'mov eax, edx', 'mov byte [var_15h], 4', 'rol ax, 8', 'cmp edx, 0x306', 'mov edx, 0x100', 'cmove eax, edx', 'movzx edx, byte [rdi + 0x5b]', 'lea rdi, [var_18h]', 'lea r13, [rdi + rdx]', 'mov word [var_10h], ax', 'mov byte [var_14h], dl', 'lea rbx, [r13 + 4]', 'test byte [rbp + 0x188], 1', 'je 0x4580', 'mov ecx, 0x200', 'mov rsi, r14', 'mov word [var_16h], cx', 'mov ecx, 0xf8', 'call sym.imp.__memcpy_chk', 'mov eax, dword [rbp + 0x28]', 'mov dword [r13], eax', 'movzx eax, byte [var_14h]', 'cmp eax, 8', 'jae 0x46a0', 'test al, 4', 'jne 0x4700', 'test eax, eax', 'je 0x45e6', 'add rbx, rax', 'mov eax, dword [rbp + 0x2c]', 'mov rsi, rsp', 'mov edi, 4', 'mov dword [rbx], eax', 'call sym.imp.clock_gettime']"
2,arping,86,"['call sym.imp.clock_gettime', 'mov eax, 0x14', 'mov edi, dword [rbp + 0x4c]', 'mov r8, r12', 'movzx r9d, byte [var_14h]', 'lea rsi, [var_10h]', 'add r9, 0xc', 'cmp r9, 0x14', 'cmovb r9, rax', 'add rbx, 4', 'xor ecx, ecx', 'sub rbx, rsi', 'mov rdx, rbx', 'call sym.imp.sendto', 'movsxd rdx, eax', 'cmp rbx, rdx', 'je 0x46d0', 'mov rcx, qword [var_118h]', 'xor rcx, qword fs:[0x28]', 'jne 0x473c', 'add rsp, 0x120', 'pop rbx', 'pop rbp', 'pop r12', 'pop r13', 'pop r14', 'ret', 'jmp 0x3203', 'add r12, 1', 'jmp 0x31a2', 'cmp word [r13 + r12*8 + 6], 0', 'je 0x3220', 'cmp r12, 1', 'je 0x3639', 'cmp r12, 2', 'je 0x3233', 'lea r9, [var_5ch]', 'mov r8, rbx', 'xor ecx, ecx', 'mov edx, 0x1000', 'mov edi, dword [sockfd]', 'lea rsi, [var_3f0h]', 'call sym.imp.recvfrom', 'mov r12, rax', 'test rax, rax', 'js 0x3c2c', 'lea rsi, [var_70h]', 'mov edi, 4', 'call sym.imp.clock_gettime']"
3,arping,140,"['call sym.imp.clock_gettime', 'mov eax, 0x14', 'mov edi, dword [rbp + 0x4c]', 'mov r8, r12', 'movzx r9d, byte [var_14h]', 'lea rsi, [var_10h]', 'add r9, 0xc', 'cmp r9, 0x14', 'cmovb r9, rax', 'add rbx, 4', 'xor ecx, ecx', 'sub rbx, rsi', 'mov rdx, rbx', 'call sym.imp.sendto', 'movsxd rdx, eax', 'cmp rbx, rdx', 'je 0x46d0', 'mov rcx, qword [var_118h]', 'xor rcx, qword fs:[0x28]', 'jne 0x473c', 'add rsp, 0x120', 'pop rbx', 'pop rbp', 'pop r12', 'pop r13', 'pop r14', 'ret', 'jmp 0x3203', 'add r12, 1', 'jmp 0x31a2', 'cmp word [r13 + r12*8 + 6], 0', 'je 0x3220', 'cmp r12, 1', 'je 0x3639', 'mov rsi, qword [var_20h]', 'mov edx, 8', 'mov edi, r15d', 'call sym.imp.read', 'cmp rax, 8', 'jne 0x38d8', 'mov rax, qword [nmeb]', 'add qword [var_10h], rax', 'movsxd rax, dword [var_2a0h]', 'mov rcx, qword [var_10h]', 'test eax, eax', 'jle 0x3679', 'mov rdi, qword [var_8h]', 'call fcn.000044b0', 'push r14', 'lea r14, [rdi + 0x5c]', 'mov esi, 8', 'push r13', 'push r12', 'lea r12, [rdi + 0xd0]', 'push rbp', 'mov rbp, rdi', 'push rbx', 'sub rsp, 0x120', 'movzx edx, word [rdi + 0x58]', 'mov rax, qword fs:[0x28]', 'mov qword [var_118h], rax', 'xor eax, eax', 'mov word [var_12h], si', 'mov eax, edx', 'mov byte [var_15h], 4', 'rol ax, 8', 'cmp edx, 0x306', 'mov edx, 0x100', 'cmove eax, edx', 'movzx edx, byte [rdi + 0x5b]', 'lea rdi, [var_18h]', 'lea r13, [rdi + rdx]', 'mov word [var_10h], ax', 'mov byte [var_14h], dl', 'lea rbx, [r13 + 4]', 'test byte [rbp + 0x188], 1', 'je 0x4580', 'mov ecx, 0x200', 'mov rsi, r14', 'mov word [var_16h], cx', 'mov ecx, 0xf8', 'call sym.imp.__memcpy_chk', 'mov eax, dword [rbp + 0x28]', 'mov dword [r13], eax', 'movzx eax, byte [var_14h]', 'cmp eax, 8', 'jae 0x46a0', 'test al, 4', 'jne 0x4700', 'test eax, eax', 'je 0x45e6', 'add rbx, rax', 'mov eax, dword [rbp + 0x2c]', 'mov rsi, rsp', 'mov edi, 4', 'mov dword [rbx], eax', 'call sym.imp.clock_gettime']"
4,dd,58,"['call sym.imp.clock_gettime', 'test eax, eax', 'je 0x6aa5', 'imul rax, qword [rsp], 0x3b9aca00', 'add rax, qword [var_8h]', 'mov rdx, qword [var_18h]', 'xor rdx, qword fs:[0x28]', 'jne 0x6ac8', 'add rsp, 0x20', 'pop rbp', 'ret', 'cmp rax, qword [0x00014348]', 'jl 0x31fd', 'mov rdi, rax', 'call fcn.000048d0', 'push r15', 'push r14', 'push r13', 'push r12', 'push rbp', 'mov rbp, rdi', 'push rbx', 'mov rbx, rdi', 'sub rsp, 0x7e8', 'mov rax, qword fs:[0x28]', 'mov qword [var_7d8h], rax', 'xor eax, eax', 'test rdi, rdi', 'je 0x4b80', 'call fcn.00006a70', 'endbr64', 'push rbp', 'mov edi, 1', 'sub rsp, 0x20', 'mov rax, qword fs:[0x28]', 'mov qword [var_18h], rax', 'xor eax, eax', 'mov rbp, rsp', 'mov rsi, rbp', 'call sym.imp.clock_gettime']"
5,dd,64,"['call sym.imp.clock_gettime', 'test eax, eax', 'je 0x6b18', 'mov rax, qword [var_18h]', 'xor rax, qword fs:[0x28]', 'jne 0x6b2e', 'add rsp, 0x20', 'pop rbx', 'ret', 'imul rax, qword [rsp], 0x3b9aca00', 'add rax, qword [var_8h]', 'mov rdx, qword [var_18h]', 'xor rdx, qword fs:[0x28]', 'jne 0x6ac8', 'add rsp, 0x20', 'pop rbp', 'ret', 'cmp rax, qword [0x00014348]', 'jl 0x31fd', 'mov rdi, rax', 'call fcn.000048d0', 'push r15', 'push r14', 'push r13', 'push r12', 'push rbp', 'mov rbp, rdi', 'push rbx', 'mov rbx, rdi', 'sub rsp, 0x7e8', 'mov rax, qword fs:[0x28]', 'mov qword [var_7d8h], rax', 'xor eax, eax', 'test rdi, rdi', 'je 0x4b80', 'call fcn.00006a70', 'endbr64', 'push rbp', 'mov edi, 1', 'sub rsp, 0x20', 'mov rax, qword fs:[0x28]', 'mov qword [var_18h], rax', 'xor eax, eax', 'mov rbp, rsp', 'mov rsi, rbp', 'call sym.imp.clock_gettime']"
6,dd,97,"['call sym.imp.clock_gettime', 'test eax, eax', 'je 0x6b18', 'mov rax, qword [var_18h]', 'xor rax, qword fs:[0x28]', 'jne 0x6b2e', 'add rsp, 0x20', 'pop rbx', 'ret', 'imul rax, qword [rsp], 0x3b9aca00', 'add rax, qword [var_8h]', 'mov rdx, qword [var_18h]', 'xor rdx, qword fs:[0x28]', 'jne 0x6ac8', 'add rsp, 0x20', 'pop rbp', 'ret', 'cmp rax, qword [0x00014348]', 'jl 0x31fd', 'mov rdi, rax', 'call fcn.000048d0', 'push r15', 'push r14', 'push r13', 'push r12', 'push rbp', 'mov rbp, rdi', 'push rbx', 'mov rbx, rdi', 'sub rsp, 0x7e8', 'mov rax, qword fs:[0x28]', 'mov qword [var_7d8h], rax', 'xor eax, eax', 'test rdi, rdi', 'je 0x4b80', 'call fcn.00006a70', 'endbr64', 'push rbp', 'mov edi, 1', 'sub rsp, 0x20', 'mov rax, qword fs:[0x28]', 'mov qword [var_18h], rax', 'xor eax, eax', 'mov rbp, rsp', 'mov rsi, rbp', 'call sym.imp.clock_gettime', 'test eax, eax', 'je 0x6aa5', 'mov rdi, rbp', 'call fcn.00006ad0', 'endbr64', 'push rbx', 'mov rsi, rdi', 'mov rbx, rdi', 'xor edi, edi', 'sub rsp, 0x20', 'mov rax, qword fs:[0x28]', 'mov qword [var_18h], rax', 'xor eax, eax', 'call sym.imp.clock_gettime']"
7,debian-distro-info,247,"['call sym.imp.mktime', 'mov rdx, qword [var_38h]', 'xor rdx, qword fs:[0x28]', 'jne 0x25fb', 'add rsp, 0x48', 'ret', 'mov rdi, rbp', 'mov r12, rax', 'call fcn.00002590', 'sub rsp, 0x48', 'pxor xmm0, xmm0', 'mov rax, qword fs:[0x28]', 'mov qword [var_38h], rax', 'xor eax, eax', 'mov eax, dword [rdi]', 'movaps xmmword [var_10h], xmm0', 'mov r8, rsp', 'movaps xmmword [rsp], xmm0', 'sub eax, 0x76c', 'movaps xmmword [var_20h], xmm0', 'mov dword [var_14h], eax', 'mov eax, dword [rdi + 4]', 'mov qword [var_30h], 0', 'sub eax, 1', 'mov dword [var_10h], eax', 'mov eax, dword [rdi + 8]', 'mov rdi, r8', 'mov dword [var_ch], eax', 'call sym.imp.mktime']"
8,diff,294,"['call sym.imp.mktime', 'mov qword [var_8h], rax', 'cmp rax, 0xffffffffffffffff', 'je 0x24880', 'mov rsi, rbx', 'mov rdi, rbp', 'call fcn.000244d0', 'push r15', 'push r14', 'push r13', 'push r12', 'push rbp', 'push rbx', 'sub rsp, 8', 'mov r12, qword [rsi + 0x30]', 'test r12, r12', 'je 0x245a0', 'add rsp, 8', 'mov eax, 1', 'pop rbx', 'pop rbp', 'pop r12', 'pop r13', 'pop r14', 'pop r15', 'ret', 'test al, al', 'jne 0x24843', 'cmp r12, 1', 'je 0x24859', 'mov rdi, r12', 'call fcn.000243e0', 'push r13', 'push r12', 'push rbp', 'mov rbp, rdi', 'push rbx', 'sub rsp, 8', 'call sym.imp.__errno_location', 'cmp byte [rbp + 8], 0', 'lea rdi, [rbp + 9]', 'mov rbx, rax', 'mov r12d, dword [rax]', 'jne 0x24404', 'call fcn.00024380', 'test rdi, rdi', 'je 0x243a0', 'lea rdi, [0x0002db90]', 'jmp sym.imp.unsetenv', 'test eax, eax', 'je 0x246f8', 'call sym.imp.__errno_location', 'mov rbp, rax', 'mov r12d, dword [rax]', 'cmp rbx, 1', 'je 0x246af', 'mov dword [rbp], r12d', 'xor ebx, ebx', 'mov rax, rbx', 'pop rbx', 'pop rbp', 'pop r12', 'ret', 'mov r12, rax', 'test rax, rax', 'je 0x24908', 'mov rdi, rbx', 'call sym.imp.mktime']"
9,diff,224,"['call sym.imp.mktime', 'mov qword [var_8h], rax', 'cmp rax, 0xffffffffffffffff', 'je 0x24880', 'lea rsi, [var_10h]', 'lea rdi, [var_8h]', 'call sym.imp.localtime_r']"
