,0,1,2
0,dff,120,"['rdtsc', 'mov qword [var_18h], rax', 'mov qword [var_10h], rdx', 'mov rax, qword [var_10h]', 'shl rax, 0x20', 'or qword [var_18h], rax', 'lfence', 'mov rdx, qword [var_28h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'mfence', 'lfence', 'rdtsc', 'mov qword [var_8h], rax', 'mov qword [var_10h], rdx', 'mov rax, qword [var_10h]', 'shl rax, 0x20', 'or qword [var_8h], rax', 'lfence', 'mov rax, qword [var_8h]', 'sub rax, qword [var_18h]', 'mov qword [var_10h], rax', 'cmp qword [var_10h], 0x95', 'ja 0x1541', 'cmp qword [var_10h], 0x289', 'jbe 0x1561', 'mov rax, qword [obj.iter_no]', 'cmp rax, 0x1f3', 'ja 0x1561', 'mov eax, 0', 'jmp 0x15a6', 'pop rbp', 'ret', 'mov dword [var_23fch], eax', 'cmp dword [var_23fch], 0', 'jne 0x1941', 'cmp dword [var_23fch], 1', 'jne 0x195f', 'sub dword [var_2440h], 1', 'mov rax, qword [buffer]', 'mov rdi, rax', 'call sym.imp.strlen', 'mov rdx, rax', 'mov rsi, qword [buffer]', 'mov eax, dword [fildes]', 'mov ecx, 0', 'mov edi, eax', 'call sym.imp.send', 'add dword [var_2440h], 1', 'mov eax, dword [var_2440h]', 'cmp eax, dword [var_2404h]', 'jl 0x18dd', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.flush', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_8h], rdi', 'mov rdx, qword [var_8h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'nop', 'pop rbp', 'ret', 'lea rcx, [buf]', 'mov eax, dword [fildes]', 'mov edx, 0x400', 'mov rsi, rcx', 'mov edi, eax', 'call sym.imp.read', 'mov dword [var_2400h], eax', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.dff_phase_3', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_28h], rdi', 'mov rax, qword [obj.iter_no]', 'add rax, 1', 'mov qword [obj.iter_no], rax', 'mfence', 'lfence', 'rdtsc']"
1,dff,14,"['rdtsc', 'mov qword [var_18h], rax', 'mov qword [var_10h], rdx', 'mov rax, qword [var_10h]', 'shl rax, 0x20', 'or qword [var_18h], rax', 'lfence', 'mov rdx, qword [var_28h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'mfence', 'lfence', 'rdtsc']"
2,dff,106,"['rdtsc', 'mov qword [var_8h], rax', 'mov qword [var_10h], rdx', 'mov rax, qword [var_10h]', 'shl rax, 0x20', 'or qword [var_8h], rax', 'lfence', 'mov rax, qword [var_8h]', 'sub rax, qword [var_18h]', 'mov qword [var_10h], rax', 'cmp qword [var_10h], 0x95', 'ja 0x1541', 'cmp qword [var_10h], 0x289', 'jbe 0x1561', 'mov rax, qword [obj.iter_no]', 'cmp rax, 0x1f3', 'ja 0x1561', 'mov eax, 0', 'jmp 0x15a6', 'pop rbp', 'ret', 'mov dword [var_23fch], eax', 'cmp dword [var_23fch], 0', 'jne 0x1941', 'cmp dword [var_23fch], 1', 'jne 0x195f', 'sub dword [var_2440h], 1', 'mov rax, qword [buffer]', 'mov rdi, rax', 'call sym.imp.strlen', 'mov rdx, rax', 'mov rsi, qword [buffer]', 'mov eax, dword [fildes]', 'mov ecx, 0', 'mov edi, eax', 'call sym.imp.send', 'add dword [var_2440h], 1', 'mov eax, dword [var_2440h]', 'cmp eax, dword [var_2404h]', 'jl 0x18dd', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.flush', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_8h], rdi', 'mov rdx, qword [var_8h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'nop', 'pop rbp', 'ret', 'lea rcx, [buf]', 'mov eax, dword [fildes]', 'mov edx, 0x400', 'mov rsi, rcx', 'mov edi, eax', 'call sym.imp.read', 'mov dword [var_2400h], eax', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.dff_phase_3', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_28h], rdi', 'mov rax, qword [obj.iter_no]', 'add rax, 1', 'mov qword [obj.iter_no], rax', 'mfence', 'lfence', 'rdtsc']"
3,dff,120,"['rdtsc', 'mov qword [var_8h], rax', 'mov qword [var_10h], rdx', 'mov rax, qword [var_10h]', 'shl rax, 0x20', 'or qword [var_8h], rax', 'lfence', 'mov rax, qword [var_8h]', 'sub rax, qword [var_18h]', 'mov qword [var_10h], rax', 'cmp qword [var_10h], 0x95', 'ja 0x1541', 'cmp qword [var_10h], 0x289', 'jbe 0x1561', 'mov rax, qword [obj.iter_no]', 'cmp rax, 0x1f3', 'ja 0x1561', 'mov eax, 0', 'jmp 0x15a6', 'pop rbp', 'ret', 'mov dword [var_23fch], eax', 'cmp dword [var_23fch], 0', 'jne 0x1941', 'cmp dword [var_23fch], 1', 'jne 0x195f', 'sub dword [var_2440h], 1', 'mov rax, qword [buffer]', 'mov rdi, rax', 'call sym.imp.strlen', 'mov rdx, rax', 'mov rsi, qword [buffer]', 'mov eax, dword [fildes]', 'mov ecx, 0', 'mov edi, eax', 'call sym.imp.send', 'add dword [var_2440h], 1', 'mov eax, dword [var_2440h]', 'cmp eax, dword [var_2404h]', 'jl 0x18dd', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.flush', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_8h], rdi', 'mov rdx, qword [var_8h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'nop', 'pop rbp', 'ret', 'lea rcx, [buf]', 'mov eax, dword [fildes]', 'mov edx, 0x400', 'mov rsi, rcx', 'mov edi, eax', 'call sym.imp.read', 'mov dword [var_2400h], eax', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.dff_phase_3', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_28h], rdi', 'mov rax, qword [obj.iter_no]', 'add rax, 1', 'mov qword [obj.iter_no], rax', 'mfence', 'lfence', 'rdtsc', 'mov qword [var_18h], rax', 'mov qword [var_10h], rdx', 'mov rax, qword [var_10h]', 'shl rax, 0x20', 'or qword [var_18h], rax', 'lfence', 'mov rdx, qword [var_28h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'mfence', 'lfence', 'rdtsc']"
4,dfr,108,"['rdtsc', 'lfence', 'mov rdi, rax', 'mov r8, qword [rcx]', 'lfence', 'rdtsc', 'sub rax, rdi', 'mov qword [var_8h], rax', 'cmp qword [var_8h], 0x3b', 'ja 0x150e', 'cmp qword [var_8h], 0xc8', 'jbe 0x152e', 'mov rax, qword [obj.iter_no]', 'cmp rax, 0x1f3', 'ja 0x152e', 'mov eax, 1', 'jmp 0x1570', 'pop rbp', 'ret', 'mov dword [var_23fch], eax', 'cmp dword [var_23fch], 0', 'jne 0x190b', 'cmp dword [var_23fch], 1', 'jne 0x1929', 'sub dword [var_2440h], 1', 'mov rax, qword [buffer]', 'mov rdi, rax', 'call sym.imp.strlen', 'mov rdx, rax', 'mov rsi, qword [buffer]', 'mov eax, dword [fildes]', 'mov ecx, 0', 'mov edi, eax', 'call sym.imp.send', 'add dword [var_2440h], 1', 'mov eax, dword [var_2440h]', 'cmp eax, dword [var_2404h]', 'jl 0x18a7', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.flush', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_8h], rdi', 'mov rdx, qword [var_8h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'nop', 'pop rbp', 'ret', 'lea rcx, [buf]', 'mov eax, dword [fildes]', 'mov edx, 0x400', 'mov rsi, rcx', 'mov edi, eax', 'call sym.imp.read', 'mov dword [var_2400h], eax', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.dfr_phase_3', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_18h], rdi', 'mov rax, qword [obj.iter_no]', 'add rax, 1', 'mov qword [obj.iter_no], rax', 'mov rax, qword [var_18h]', 'mov rcx, rax', 'mfence', 'lfence', 'rdtsc']"
5,dfr,7,"['rdtsc', 'lfence', 'mov rdi, rax', 'mov r8, qword [rcx]', 'lfence', 'rdtsc']"
6,dfr,101,"['rdtsc', 'sub rax, rdi', 'mov qword [var_8h], rax', 'cmp qword [var_8h], 0x3b', 'ja 0x150e', 'cmp qword [var_8h], 0xc8', 'jbe 0x152e', 'mov rax, qword [obj.iter_no]', 'cmp rax, 0x1f3', 'ja 0x152e', 'mov eax, 1', 'jmp 0x1570', 'pop rbp', 'ret', 'mov dword [var_23fch], eax', 'cmp dword [var_23fch], 0', 'jne 0x190b', 'cmp dword [var_23fch], 1', 'jne 0x1929', 'sub dword [var_2440h], 1', 'mov rax, qword [buffer]', 'mov rdi, rax', 'call sym.imp.strlen', 'mov rdx, rax', 'mov rsi, qword [buffer]', 'mov eax, dword [fildes]', 'mov ecx, 0', 'mov edi, eax', 'call sym.imp.send', 'add dword [var_2440h], 1', 'mov eax, dword [var_2440h]', 'cmp eax, dword [var_2404h]', 'jl 0x18a7', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.flush', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_8h], rdi', 'mov rdx, qword [var_8h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'nop', 'pop rbp', 'ret', 'lea rcx, [buf]', 'mov eax, dword [fildes]', 'mov edx, 0x400', 'mov rsi, rcx', 'mov edi, eax', 'call sym.imp.read', 'mov dword [var_2400h], eax', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.dfr_phase_3', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_18h], rdi', 'mov rax, qword [obj.iter_no]', 'add rax, 1', 'mov qword [obj.iter_no], rax', 'mov rax, qword [var_18h]', 'mov rcx, rax', 'mfence', 'lfence', 'rdtsc']"
7,dfr,108,"['rdtsc', 'sub rax, rdi', 'mov qword [var_8h], rax', 'cmp qword [var_8h], 0x3b', 'ja 0x150e', 'cmp qword [var_8h], 0xc8', 'jbe 0x152e', 'mov rax, qword [obj.iter_no]', 'cmp rax, 0x1f3', 'ja 0x152e', 'mov eax, 1', 'jmp 0x1570', 'pop rbp', 'ret', 'mov dword [var_23fch], eax', 'cmp dword [var_23fch], 0', 'jne 0x190b', 'cmp dword [var_23fch], 1', 'jne 0x1929', 'sub dword [var_2440h], 1', 'mov rax, qword [buffer]', 'mov rdi, rax', 'call sym.imp.strlen', 'mov rdx, rax', 'mov rsi, qword [buffer]', 'mov eax, dword [fildes]', 'mov ecx, 0', 'mov edi, eax', 'call sym.imp.send', 'add dword [var_2440h], 1', 'mov eax, dword [var_2440h]', 'cmp eax, dword [var_2404h]', 'jl 0x18a7', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.flush', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_8h], rdi', 'mov rdx, qword [var_8h]', 'mov rcx, rdx', 'clflush byte [rcx]', 'nop', 'pop rbp', 'ret', 'lea rcx, [buf]', 'mov eax, dword [fildes]', 'mov edx, 0x400', 'mov rsi, rcx', 'mov edi, eax', 'call sym.imp.read', 'mov dword [var_2400h], eax', 'mov rax, qword [var_23f0h]', 'mov rdi, rax', 'call sym.dfr_phase_3', 'endbr64', 'push rbp', 'mov rbp, rsp', 'mov qword [var_18h], rdi', 'mov rax, qword [obj.iter_no]', 'add rax, 1', 'mov qword [obj.iter_no], rax', 'mov rax, qword [var_18h]', 'mov rcx, rax', 'mfence', 'lfence', 'rdtsc', 'lfence', 'mov rdi, rax', 'mov r8, qword [rcx]', 'lfence', 'rdtsc']"
8,flush_flush,16,"['rdtsc', 'mfence', 'shl rdx, 0x20', 'or rdx, rax', 'mov qword [obj.start], rdx', 'nop dword [rax]', 'mov edi, dword [var_4h]', 'mov ebx, 0x1e', 'add rdi, rbp', 'call sym.flushandreload', 'endbr64', 'mov rcx, rdi', 'mfence', 'rdtsc']"
9,flush_flush,25,"['rdtsc', 'mfence', 'shl rdx, 0x20', 'or rdx, rax', 'mov qword [obj.start], rdx', 'nop dword [rax]', 'mov edi, dword [var_4h]', 'mov ebx, 0x1e', 'add rdi, rbp', 'call sym.flushandreload', 'endbr64', 'mov rcx, rdi', 'mfence', 'rdtsc', 'shl rdx, 0x20', 'or rdx, rax', 'mov r8, rdx', 'mfence', 'clflush byte [rcx]', 'mfence', 'rdtsc']"
